GB	GBold
GB43722	GB14555
GB43724	NULL
GB43725	NULL
GB43726	NULL
GB43727	GB17793
GB43728	NULL
GB43729	GB13423
GB43730	GB14618
GB43731	GB12231
GB43732	GB14418
GB43733	GB15454
GB43734	GB15454
GB43735	NULL
GB43736	GB19260
GB43737	GB16063
GB43738	GB18313
GB43739	GB13658
GB43740	NULL
GB43741	NULL
GB43742	GB15457
GB43743	GB13329
GB43745	NULL
GB43747	NULL
GB43749	NULL
GB43750	GB14121
GB43751	GB10091
GB43752	NULL
GB43753	NULL
GB43754	NULL
GB43755	GB16222
GB43756	NULL
GB43757	NULL
GB43758	NULL
GB43759	NULL
GB43760	NULL
GB43761	GB14327
GB43767	NULL
GB43768	GB13878
GB43769	GB19141
GB43770	GB12263
GB43771	NULL
GB43772	NULL
GB43773	NULL
GB43774	NULL
GB43775	NULL
GB43776	NULL
GB43777	NULL
GB43778	GB19475
GB43779	NULL
GB43780	NULL
GB43781	GB20046
GB43782	GB18890
GB43783	GB10160
GB43784	NULL
GB43785	NULL
GB43786	GB13610
GB43787	GB19025
GB43788	GB10585
GB43789	GB14765
GB43790	GB17028
GB43791	NULL
GB43792	GB15632
GB43793	NULL
GB43794	GB14483
GB43795	NULL
GB43796	NULL
GB43797	NULL
GB43798	GB16172
GB43799	NULL
GB43800	NULL
GB43801	NULL
GB43802	NULL
GB43803	NULL
GB43805	GB13330
GB43806	NULL
GB43808	NULL
GB43809	GB11137
GB43811	GB16567
GB43812	GB16567
GB43813	GB17599
GB43814	GB14904
GB43815	NULL
GB43816	GB11147
GB43817	GB10108
GB43818	GB16615
GB43819	GB18636
GB43820	GB12034
GB43822	NULL
GB43823	GB17875
GB43824	GB18602
GB43825	GB16903
GB43826	GB15165
GB43827	GB19275
GB43828	GB19275
GB43829	NULL
GB43830	NULL
GB43831	GB16302
GB43832	GB16302
GB43833	GB18112
GB43834	NULL
GB43835	NULL
GB43836	GB19578
GB43837	NULL
GB43838	NULL
GB43839	NULL
GB43840	GB11012
GB43841	NULL
GB43843	GB11970
GB43844	GB18943
GB43845	GB18943
GB43846	GB17447
GB43847	GB18260
GB43848	GB18046
GB43849	NULL
GB43850	NULL
GB43851	GB18939
GB43852	NULL
GB43854	NULL
GB43855	GB12733
GB43856	GB13913
GB43857	GB11502
GB43858	GB19357
GB43859	GB12971
GB43860	GB14003
GB43861	GB19279
GB43862	NULL
GB43863	GB14423
GB43867	NULL
GB43868	GB15674
GB43869	GB18150
GB43870	GB18150
GB43871	NULL
GB43872	GB16436
GB43873	GB12971
GB43874	GB10706
GB43875	GB17235
GB43876	GB10501
GB43877	GB18816
GB43879	GB14709
GB43880	NULL
GB43881	GB10547
GB43882	GB10547
GB43883	GB19599
GB43884	GB14057
GB43885	GB17449
GB43886	GB17449
GB43887	NULL
GB43888	GB16148
GB43889	GB12160
GB43890	GB20000
GB43891	GB20000
GB43892	GB12327
GB43894	GB14923
GB43895	NULL
GB43897	GB10186
GB43898	NULL
GB43899	GB19770
GB43900	GB19852
GB43901	GB19517
GB43902	GB15622
GB43903	NULL
GB43904	GB18781
GB43905	GB18490
GB43906	GB14848
GB43908	GB16018
GB43909	GB13865
GB43910	NULL
GB43911	GB13865
GB43912	GB18765
GB43913	GB11210
GB43914	NULL
GB43915	NULL
GB43916	NULL
GB43917	GB12824
GB43919	GB11854
GB43920	GB11854
GB43921	GB19485
GB43922	NULL
GB43923	NULL
GB43924	NULL
GB43932	NULL
GB43934	GB12650
GB43935	GB12650
GB43936	NULL
GB43937	GB14927
GB43938	GB15391
GB43939	NULL
GB43940	NULL
GB43941	NULL
GB43942	GB19831
GB43943	NULL
GB43944	NULL
GB43945	GB11623
GB43946	NULL
GB43947	NULL
GB43948	NULL
GB43949	GB19195
GB43951	NULL
GB43952	GB18420
GB43953	GB11309
GB43954	GB17004
GB43955	GB12461
GB43956	NULL
GB43957	NULL
GB43958	NULL
GB43959	NULL
GB43960	NULL
GB43962	NULL
GB43963	GB11488
GB43964	GB18686
GB43965	NULL
GB43966	NULL
GB43968	NULL
GB43969	NULL
GB43971	NULL
GB43972	NULL
GB43974	NULL
GB43975	NULL
GB43976	NULL
GB43977	GB15576
GB43978	NULL
GB43980	GB17680
GB43981	NULL
GB43982	NULL
GB43983	GB13808
GB43984	GB13775
GB43985	NULL
GB43986	NULL
GB43988	NULL
GB43989	GB17304
GB43990	GB16961
GB43991	GB11182
GB43992	NULL
GB43996	NULL
GB43997	NULL
GB43998	GB13623
GB43999	GB16965
GB44000	GB17522
GB44001	NULL
GB44002	GB15988
GB44003	GB18371
GB44004	GB18371
GB44005	GB18371
GB44006	GB18268
GB44007	NULL
GB44008	GB11719
GB44009	GB14458
GB44010	GB10829
GB44011	GB10728
GB44012	NULL
GB44013	GB19449
GB44014	GB19449
GB44015	NULL
GB44016	GB10633
GB44017	GB13496
GB44018	GB13496
GB44019	GB16480
GB44020	GB16480
GB44021	GB13335
GB44022	GB13335
GB44024	NULL
GB44026	NULL
GB44027	GB15658
GB44028	GB15658
GB44029	GB19092
GB44030	GB19092
GB44031	NULL
GB44032	GB30211
GB44033	NULL
GB44034	GB17583
GB44035	GB17583
GB44037	GB11708
GB44038	NULL
GB44039	GB18727
GB44040	NULL
GB44041	GB17219
GB44042	GB17219
GB44043	GB10517
GB44044	GB10748
GB44045	GB19916
GB44046	GB10679
GB44047	NULL
GB44048	GB13275
GB44049	GB12297
GB44050	NULL
GB44051	GB19571
GB44052	GB19571
GB44053	NULL
GB44054	GB19459
GB44055	GB10655
GB44056	NULL
GB44058	GB16747
GB44059	GB15406
GB44060	NULL
GB44061	GB10207
GB44062	GB14040
GB44063	GB14908
GB44064	GB18067
GB44065	GB19362
GB44066	GB10456
GB44067	GB10456
GB44068	GB14922
GB44069	GB14922
GB44070	GB17419
GB44071	GB14985
GB44072	GB11116
GB44073	GB12190
GB44074	GB13049
GB44075	NULL
GB44076	NULL
GB44077	NULL
GB44078	GB10685
GB44079	GB18223
GB44080	GB10967
GB44081	GB16717
GB44082	GB12569
GB44083	GB15101
GB44084	GB14919
GB44085	GB13417
GB44086	GB14521
GB44089	NULL
GB44090	GB17469
GB44091	GB17469
GB44092	GB10138
GB44093	NULL
GB44095	NULL
GB44096	GB15001
GB44097	GB10273
GB44098	GB16669
GB44099	GB20113
GB44100	GB17166
GB44101	NULL
GB44102	NULL
GB44103	GB20127
GB44104	GB13499
GB44105	NULL
GB44106	NULL
GB44107	NULL
GB44108	NULL
GB44109	GB13912
GB44110	NULL
GB44111	NULL
GB44112	GB10355
GB44113	GB13421
GB44114	NULL
GB44115	GB10126
GB44116	GB12778
GB44117	GB13261
GB44118	GB13261
GB44119	GB10982
GB44120	GB13489
GB44121	GB18122
GB44122	GB16787
GB44123	GB14641
GB44124	GB10279
GB44125	GB19795
GB44126	NULL
GB44127	GB18175
GB44128	GB17329
GB44129	GB17161
GB44130	GB10685
GB44131	GB12779
GB44132	GB11087
GB44133	GB10275
GB44134	NULL
GB44135	NULL
GB44136	GB12925
GB44138	GB16589
GB44139	GB16355
GB44140	GB17419
GB44141	GB10882
GB44142	GB12425
GB44143	GB12425
GB44144	GB14627
GB44145	GB10758
GB44146	GB10758
GB44147	GB16952
GB44148	GB12217
GB44149	GB16220
GB44150	NULL
GB44151	NULL
GB44152	GB11975
GB44153	GB17787
GB44154	GB14583
GB44155	GB16823
GB44156	GB12100
GB44157	GB15141
GB44158	GB15141
GB44159	GB15141
GB44160	NULL
GB44161	NULL
GB44162	GB16197
GB44163	GB16197
GB44164	NULL
GB44165	GB11146
GB44166	NULL
GB44167	GB18346
GB44168	GB18346
GB44169	NULL
GB44170	GB16070
GB44171	GB13275
GB44172	NULL
GB44173	GB11374
GB44174	NULL
GB44175	GB13343
GB44176	GB13739
GB44177	GB11582
GB44178	GB13736
GB44179	GB13091
GB44180	GB13091
GB44181	NULL
GB44183	GB19623
GB44184	GB16830
GB44185	GB13520
GB44186	GB11944
GB44187	GB13407
GB44188	GB19907
GB44189	GB10102
GB44190	GB10102
GB44191	NULL
GB44192	NULL
GB44193	GB15227
GB44194	NULL
GB44195	NULL
GB44196	NULL
GB44197	GB19887
GB44198	GB14424
GB44199	GB16088
GB44200	GB16088
GB44201	NULL
GB44202	NULL
GB44203	GB12394
GB44204	GB14998
GB44205	GB19200
GB44206	GB16354
GB44207	GB11031
GB44208	GB13087
GB44209	GB15375
GB44210	GB14365
GB44211	GB14365
GB44212	GB14365
GB44213	GB13109
GB44214	GB13109
GB44215	NULL
GB44216	GB15591
GB44218	GB14009
GB44219	GB10260
GB44220	GB10260
GB44221	GB12267
GB44222	NULL
GB44223	GB13626
GB44224	GB13626
GB44225	GB18082
GB44227	NULL
GB44228	NULL
GB44229	GB12972
GB44230	NULL
GB44231	NULL
GB44232	GB12476
GB44233	NULL
GB44236	NULL
GB44237	GB14469
GB44238	NULL
GB44245	NULL
GB44247	GB10233
GB44248	GB14617
GB44249	NULL
GB44250	GB18608
GB44251	GB12829
GB44252	GB14597
GB44253	GB16235
GB44254	GB16235
GB44255	NULL
GB44256	NULL
GB44257	NULL
GB44258	GB17763
GB44259	GB17763
GB44260	NULL
GB44261	GB15664
GB44262	GB15664
GB44263	GB15122
GB44264	NULL
GB44265	NULL
GB44267	NULL
GB44269	NULL
GB44271	GB18901
GB44275	NULL
GB44276	GB16056
GB44277	NULL
GB44278	GB14014
GB44279	GB14014
GB44280	NULL
GB44281	GB13003
GB44283	NULL
GB44284	GB19574
GB44285	GB19574
GB44287	GB15400
GB44288	GB14280
GB44289	GB19285
GB44291	GB11497
GB44292	GB15314
GB44293	GB12520
GB44294	NULL
GB44295	GB17568
GB44296	GB14151
GB44297	GB15547
GB44298	GB11035
GB44299	GB12935
GB44300	GB12222
GB44301	NULL
GB44302	NULL
GB44303	GB13685
GB44304	GB14234
GB44305	GB16850
GB44306	GB19368
GB44307	GB17610
GB44308	NULL
GB44309	NULL
GB44310	NULL
GB44311	NULL
GB44312	GB12539
GB44313	GB18892
GB44314	NULL
GB44315	GB19547
GB44316	GB10418
GB44317	GB17021
GB44318	NULL
GB44319	GB12644
GB44320	GB19355
GB44321	GB19355
GB44325	GB16782
GB44326	NULL
GB44327	GB11175
GB44328	GB16249
GB44329	GB16249
GB44330	GB17246
GB44331	GB15979
GB44332	GB12213
GB44333	GB12213
GB44334	GB20018
GB44335	GB20018
GB44336	NULL
GB44337	GB19933
GB44338	GB12964
GB44339	GB11889
GB44340	GB16812
GB44341	GB11337
GB44342	NULL
GB44343	NULL
GB44344	NULL
GB44345	NULL
GB44346	GB16722
GB44347	GB18810
GB44348	GB17681
GB44349	NULL
GB44350	GB19463
GB44351	GB13693
GB44352	NULL
GB44353	GB15656
GB44354	GB12430
GB44355	GB14799
GB44356	GB14799
GB44357	NULL
GB44358	NULL
GB44359	NULL
GB44360	GB12717
GB44361	GB10612
GB44362	GB19309
GB44363	GB19309
GB44364	GB10201
GB44365	GB10201
GB44366	GB11755
GB44367	GB19761
GB44368	GB11725
GB44369	GB19241
GB44370	NULL
GB44371	GB12981
GB44373	GB15111
GB44374	NULL
GB44377	NULL
GB44378	NULL
GB44379	NULL
GB44380	NULL
GB44381	NULL
GB44382	NULL
GB44383	GB11045
GB44384	NULL
GB44385	GB17259
GB44386	NULL
GB44387	GB11779
GB44388	NULL
GB44392	NULL
GB44393	NULL
GB44394	NULL
GB44395	GB14853
GB44396	GB14853
GB44397	GB17462
GB44398	GB16526
GB44399	GB12705
GB44400	GB10440
GB44401	NULL
GB44402	GB11239
GB44403	NULL
GB44404	GB16118
GB44405	NULL
GB44407	NULL
GB44408	NULL
GB44409	NULL
GB44410	GB18915
GB44411	GB17843
GB44412	GB11737
GB44413	NULL
GB44414	GB19751
GB44415	GB17085
GB44416	GB16583
GB44417	NULL
GB44418	GB15778
GB44419	GB17240
GB44420	GB12497
GB44421	GB15735
GB44422	GB20002
GB44423	GB15481
GB44424	NULL
GB44425	NULL
GB44426	GB15290
GB44427	NULL
GB44428	GB18569
GB44429	GB18569
GB44430	GB13073
GB44431	GB15218
GB44432	GB10661
GB44433	GB13721
GB44434	GB10872
GB44435	NULL
GB44436	GB17899
GB44437	GB15896
GB44438	NULL
GB44439	GB13469
GB44440	GB16989
GB44441	NULL
GB44442	NULL
GB44443	GB16477
GB44444	GB10409
GB44445	GB17901
GB44446	NULL
GB44447	NULL
GB44448	GB19170
GB44449	GB11718
GB44450	GB19170
GB44451	NULL
GB44452	NULL
GB44453	NULL
GB44455	NULL
GB44456	NULL
GB44457	GB11286
GB44458	NULL
GB44459	NULL
GB44460	NULL
GB44461	NULL
GB44462	GB15816
GB44463	NULL
GB44464	GB13319
GB44466	NULL
GB44467	GB17859
GB44468	NULL
GB44469	NULL
GB44470	GB15894
GB44471	NULL
GB44472	GB15894
GB44475	NULL
GB44476	NULL
GB44477	NULL
GB44478	NULL
GB44479	NULL
GB44481	GB17335
GB44482	GB17335
GB44483	GB17621
GB44484	GB15608
GB44485	GB15608
GB44486	GB12803
GB44487	NULL
GB44488	NULL
GB44489	NULL
GB44490	GB10026
GB44491	GB14369
GB44492	NULL
GB44493	GB19843
GB44494	GB11067
GB44495	GB16243
GB44496	GB11692
GB44498	NULL
GB44499	GB15701
GB44500	GB16683
GB44501	GB16683
GB44502	GB16683
GB44503	GB17063
GB44504	GB15073
GB44505	GB15073
GB44506	NULL
GB44507	GB15334
GB44508	GB15334
GB44509	NULL
GB44510	NULL
GB44511	NULL
GB44512	GB18125
GB44513	GB18743
GB44514	GB10156
GB44515	GB19861
GB44516	GB17363
GB44517	GB16943
GB44518	GB16721
GB44519	GB16328
GB44520	GB17325
GB44521	GB15932
GB44523	GB14024
GB44524	GB18535
GB44525	GB19612
GB44526	GB19612
GB44527	GB19612
GB44528	NULL
GB44529	NULL
GB44530	GB10714
GB44531	GB10714
GB44532	GB16786
GB44533	GB13004
GB44534	GB12280
GB44535	NULL
GB44536	NULL
GB44537	GB16816
GB44538	GB17342
GB44539	NULL
GB44540	GB17143
GB44541	GB19373
GB44542	GB12486
GB44543	GB12486
GB44544	GB11125
GB44545	NULL
GB44546	NULL
GB44547	NULL
GB44548	GB13065
GB44549	GB19418
GB44550	GB18849
GB44551	GB17838
GB44552	NULL
GB44553	GB18713
GB44554	GB18713
GB44555	GB11691
GB44556	GB12017
GB44557	GB13744
GB44558	GB17893
GB44559	GB10686
GB44560	NULL
GB44561	NULL
GB44563	NULL
GB44564	GB19075
GB44566	GB15594
GB44567	GB15594
GB44570	GB14786
GB44571	GB11690
GB44572	GB10357
GB44573	GB14886
GB44574	GB16955
GB44575	GB16955
GB44576	GB14409
GB44577	GB16718
GB44578	NULL
GB44579	GB14030
GB44580	GB16649
GB44581	GB16958
GB44582	NULL
GB44583	NULL
GB44584	NULL
GB44585	GB17511
GB44586	NULL
GB44587	GB15652
GB44588	GB15652
GB44589	NULL
GB44590	NULL
GB44592	GB18861
GB44593	GB18861
GB44594	GB16422
GB44595	NULL
GB44596	GB13157
GB44597	GB12039
GB44598	GB18510
GB44599	NULL
GB44600	NULL
GB44601	NULL
GB44602	GB17288
GB44603	NULL
GB44604	GB17288
GB44605	NULL
GB44606	GB17288
GB44607	NULL
GB44608	NULL
GB44609	NULL
GB44610	GB17914
GB44611	GB17571
GB44612	GB17932
GB44613	NULL
GB44614	NULL
GB44615	GB16451
GB44616	GB15971
GB44618	NULL
GB44619	GB16243
GB44620	NULL
GB44621	GB12422
GB44623	GB12422
GB44624	GB18963
GB44625	NULL
GB44626	GB13879
GB44627	NULL
GB44628	NULL
GB44629	NULL
GB44630	NULL
GB44631	GB12489
GB44632	NULL
GB44633	GB19901
GB44634	GB19901
GB44635	NULL
GB44636	GB11114
GB44637	NULL
GB44638	NULL
GB44639	NULL
GB44640	GB11483
GB44641	NULL
GB44642	GB13932
GB44643	GB18272
GB44644	GB18272
GB44645	GB16808
GB44646	NULL
GB44647	NULL
GB44648	GB10696
GB44649	GB19281
GB44650	GB11846
GB44651	NULL
GB44653	GB15909
GB44654	GB16880
GB44656	GB17582
GB44657	GB17582
GB44658	GB17582
GB44659	NULL
GB44660	GB10747
GB44661	GB13544
GB44662	GB13440
GB44663	GB16784
GB44664	NULL
GB44665	NULL
GB44666	NULL
GB44667	NULL
GB44668	NULL
GB44670	GB11735
GB44671	GB15159
GB44672	GB19159
GB44673	GB10358
GB44674	NULL
GB44675	NULL
GB44676	GB16180
GB44677	GB17995
GB44678	NULL
GB44679	GB15896
GB44680	GB12513
GB44681	GB15668
GB44682	GB11647
GB44683	GB19224
GB44684	GB14159
GB44685	GB16207
GB44686	GB15129
GB44687	GB12920
GB44688	GB18911
GB44689	NULL
GB44690	GB14118
GB44691	NULL
GB44692	NULL
GB44693	GB10107
GB44694	GB12675
GB44695	GB18286
GB44696	NULL
GB44697	NULL
GB44698	GB13684
GB44699	GB13684
GB44700	NULL
GB44701	NULL
GB44702	GB19402
GB44703	GB17067
GB44704	GB14539
GB44705	GB16318
GB44706	GB11737
GB44707	GB20088
GB44708	NULL
GB44709	GB18330
GB44710	GB12293
GB44711	GB10482
GB44712	NULL
GB44713	GB12864
GB44714	GB12864
GB44715	NULL
GB44717	NULL
GB44718	GB16296
GB44721	GB18630
GB44722	NULL
GB44723	GB10666
GB44724	NULL
GB44725	GB13015
GB44726	GB11183
GB44727	NULL
GB44728	NULL
GB44729	NULL
GB44730	NULL
GB44731	GB11956
GB44732	GB12346
GB44733	NULL
GB44734	NULL
GB44735	NULL
GB44738	NULL
GB44739	GB14292
GB44740	GB14292
GB44742	GB19619
GB44743	GB13130
GB44744	GB10398
GB44745	NULL
GB44746	GB17872
GB44747	GB17890
GB44749	GB15648
GB44750	NULL
GB44751	GB17229
GB44752	NULL
GB44753	GB13056
GB44754	GB13056
GB44755	GB11249
GB44756	NULL
GB44757	GB12049
GB44758	GB16394
GB44759	GB14727
GB44760	GB13800
GB44761	GB14891
GB44762	GB10768
GB44763	GB11490
GB44764	GB17709
GB44765	GB12922
GB44766	NULL
GB44767	NULL
GB44768	GB14319
GB44769	GB14319
GB44770	NULL
GB44771	GB12359
GB44772	GB14462
GB44773	GB12150
GB44774	GB15946
GB44775	GB15946
GB44776	GB19781
GB44777	GB10734
GB44779	GB17616
GB44780	GB18567
GB44781	GB18169
GB44782	GB14977
GB44783	GB11638
GB44785	NULL
GB44786	NULL
GB44787	GB10450
GB44788	NULL
GB44789	GB10977
GB44791	GB12498
GB44792	GB12532
GB44793	NULL
GB44794	NULL
GB44795	NULL
GB44796	GB18513
GB44797	NULL
GB44798	GB11675
GB44799	GB15308
GB44800	NULL
GB44801	NULL
GB44802	GB11004
GB44803	GB11466
GB44804	NULL
GB44805	NULL
GB44807	NULL
GB44808	GB15860
GB44809	GB10113
GB44810	GB10113
GB44811	GB10113
GB44812	GB10113
GB44813	NULL
GB44815	NULL
GB44816	NULL
GB44817	NULL
GB44818	NULL
GB44819	NULL
GB44820	NULL
GB44821	GB18571
GB44822	GB18571
GB44823	NULL
GB44824	GB13022
GB44825	NULL
GB44826	GB12521
GB44828	GB10691
GB44829	GB14677
GB44830	GB18097
GB44831	NULL
GB44832	NULL
GB44833	NULL
GB44834	NULL
GB44835	NULL
GB44836	GB17617
GB44837	GB17617
GB44838	NULL
GB44839	GB17617
GB44840	NULL
GB44841	GB12470
GB44842	GB15450
GB44843	GB15450
GB44844	GB15085
GB44845	NULL
GB44846	GB15085
GB44847	GB15085
GB44848	GB15085
GB44849	GB15085
GB44850	NULL
GB44851	NULL
GB44852	NULL
GB44853	NULL
GB44854	NULL
GB44855	NULL
GB44856	NULL
GB44857	NULL
GB44858	NULL
GB44859	NULL
GB44860	NULL
GB44861	GB11180
GB44862	GB11180
GB44863	NULL
GB44865	GB13832
GB44866	NULL
GB44867	NULL
GB44868	GB11673
GB44869	GB15709
GB44870	NULL
GB44871	GB16202
GB44872	NULL
GB44873	NULL
GB44875	NULL
GB44876	NULL
GB44877	GB19188
GB44878	GB10796
GB44879	GB12389
GB44880	GB10290
GB44881	GB15828
GB44882	GB15518
GB44883	GB10878
GB44884	GB11574
GB44885	GB10146
GB44886	GB14788
GB44887	NULL
GB44888	GB16764
GB44889	GB12287
GB44890	GB11429
GB44891	GB15087
GB44892	NULL
GB44893	GB16744
GB44894	GB16980
GB44895	NULL
GB44896	GB11967
GB44897	GB13472
GB44898	NULL
GB44899	GB17648
GB44900	GB16348
GB44901	GB18283
GB44902	GB13323
GB44903	GB19283
GB44904	GB13659
GB44905	GB11213
GB44906	GB18798
GB44907	GB16597
GB44909	GB10376
GB44910	GB13190
GB44911	NULL
GB44912	GB18742
GB44913	GB17604
GB44914	GB17604
GB44915	NULL
GB44917	GB13737
GB44918	GB15901
GB44919	NULL
GB44920	NULL
GB44921	NULL
GB44922	NULL
GB44923	NULL
GB44924	NULL
GB44925	NULL
GB44926	GB15341
GB44927	GB16621
GB44928	GB10787
GB44929	GB18041
GB44930	GB18187
GB44931	GB19246
GB44932	NULL
GB44933	GB16733
GB44934	GB11434
GB44935	GB16970
GB44936	GB18129
GB44937	GB16312
GB44938	NULL
GB44939	GB13253
GB44940	GB18570
GB44941	GB10073
GB44942	GB14259
GB44943	GB10350
GB44944	GB13977
GB44945	NULL
GB44946	GB10870
GB44947	NULL
GB44948	GB14446
GB44949	GB19034
GB44950	NULL
GB44952	NULL
GB44954	NULL
GB44955	NULL
GB44956	NULL
GB44957	NULL
GB44958	NULL
GB44959	GB12542
GB44960	GB12059
GB44961	GB17760
GB44962	GB17760
GB44963	NULL
GB44964	GB19841
GB44965	GB14958
GB44966	GB14958
GB44967	GB15333
GB44968	GB18621
GB44969	GB14185
GB44970	GB13638
GB44971	NULL
GB44972	GB19511
GB44973	NULL
GB44974	GB13918
GB44975	NULL
GB44976	GB11900
GB44977	NULL
GB44978	GB12238
GB44980	GB13292
GB44981	NULL
GB44982	NULL
GB44983	NULL
GB44984	GB11980
GB44985	GB18695
GB44986	NULL
GB44987	GB19378
GB44988	GB10356
GB44989	NULL
GB44990	GB11921
GB44991	GB18987
GB44992	NULL
GB44993	NULL
GB44994	GB14328
GB44995	NULL
GB44996	GB14361
GB44997	GB11048
GB44998	GB12761
GB44999	NULL
GB45000	NULL
GB45001	GB15148
GB45002	NULL
GB45004	NULL
GB45005	GB12464
GB45006	NULL
GB45007	NULL
GB45008	GB13960
GB45009	GB14488
GB45010	NULL
GB45011	GB13252
GB45012	GB14324
GB45013	GB10178
GB45014	GB19407
GB45015	GB12097
GB45016	NULL
GB45017	GB19490
GB45018	GB13716
GB45019	NULL
GB45020	GB14680
GB45023	GB15272
GB45024	GB13291
GB45025	GB19446
GB45026	NULL
GB45027	NULL
GB45028	GB14496
GB45029	GB11365
GB45030	GB13628
GB45031	GB19906
GB45032	NULL
GB45033	NULL
GB45034	GB17408
GB45035	GB19519
GB45036	GB17258
GB45037	GB15416
GB45038	GB13370
GB45039	NULL
GB45040	GB10114
GB45041	GB15028
GB45042	GB11024
GB45044	GB17102
GB45045	GB19723
GB45046	GB14936
GB45047	GB19553
GB45048	NULL
GB45049	GB11438
GB45050	NULL
GB45051	GB17247
GB45052	GB11950
GB45053	GB15649
GB45054	GB15649
GB45055	GB15649
GB45056	NULL
GB45057	NULL
GB45058	GB13044
GB45060	NULL
GB45061	NULL
GB45062	GB18585
GB45063	NULL
GB45064	GB16957
GB45065	GB16957
GB45066	NULL
GB45067	GB13636
GB45068	NULL
GB45069	GB13636
GB45070	GB13636
GB45071	GB15846
GB45072	NULL
GB45073	NULL
GB45074	GB19937
GB45075	GB11570
GB45076	GB10525
GB45077	GB16395
GB45078	NULL
GB45079	NULL
GB45080	NULL
GB45081	NULL
GB45082	GB18039
GB45083	GB12276
GB45084	GB19206
GB45085	NULL
GB45086	GB12414
GB45087	GB16272
GB45088	NULL
GB45089	NULL
GB45090	NULL
GB45091	GB14316
GB45092	NULL
GB45093	NULL
GB45094	GB17878
GB45095	NULL
GB45096	GB12923
GB45097	NULL
GB45098	GB13927
GB45099	GB14346
GB45100	GB11349
GB45101	GB11349
GB45102	GB15332
GB45103	NULL
GB45105	GB11740
GB45106	GB11740
GB45107	GB17159
GB45108	NULL
GB45110	GB17920
GB45111	GB12433
GB45112	NULL
GB45113	GB10109
GB45114	GB16832
GB45115	NULL
GB45117	NULL
GB45118	GB17247
GB45119	GB13099
GB45120	GB17898
GB45122	NULL
GB45123	GB15887
GB45125	GB13432
GB45126	NULL
GB45127	GB19423
GB45128	GB16864
GB45129	NULL
GB45130	NULL
GB45131	NULL
GB45133	GB15420
GB45134	NULL
GB45135	GB10471
GB45137	GB18507
GB45138	GB15645
GB45139	GB13054
GB45140	NULL
GB45141	NULL
GB45142	GB20107
GB45143	GB13628
GB45144	NULL
GB45145	GB11527
GB45146	GB14769
GB45147	GB13236
GB45148	NULL
GB45149	GB12725
GB45150	GB11637
GB45151	GB14037
GB45152	GB11876
GB45153	GB17095
GB45154	GB16745
GB45155	GB19483
GB45156	GB15221
GB45157	GB19853
GB45158	GB19609
GB45159	GB13758
GB45160	NULL
GB45161	NULL
GB45162	NULL
GB45164	NULL
GB45165	NULL
GB45166	NULL
GB45167	GB15792
GB45168	NULL
GB45169	GB15792
GB45170	NULL
GB45171	GB16281
GB45172	GB17854
GB45173	GB16159
GB45174	GB19642
GB45175	GB17308
GB45176	NULL
GB45177	GB14427
GB45178	NULL
GB45179	GB17572
GB45180	NULL
GB45181	GB18030
GB45182	NULL
GB45183	GB11506
GB45184	GB17054
GB45185	GB12706
GB45186	NULL
GB45187	NULL
GB45188	GB17613
GB45189	GB19955
GB45190	NULL
GB45191	NULL
GB45192	GB12638
GB45193	GB14051
GB45194	NULL
GB45195	GB16538
GB45196	NULL
GB45197	GB17199
GB45198	GB19002
GB45199	GB19002
GB45200	NULL
GB45201	NULL
GB45202	NULL
GB45203	NULL
GB45204	NULL
GB45205	NULL
GB45206	NULL
GB45207	GB10834
GB45208	GB10834
GB45209	NULL
GB45211	GB10545
GB45212	GB14755
GB45213	GB12565
GB45214	GB14697
GB45215	GB17742
GB45216	GB17557
GB45217	GB17557
GB45218	GB13812
GB45220	GB12549
GB45221	GB16312
GB45222	GB16010
GB45223	GB16010
GB45224	NULL
GB45225	GB11587
GB45227	GB15624
GB45228	NULL
GB45229	NULL
GB45230	GB19646
GB45231	NULL
GB45232	NULL
GB45233	NULL
GB45234	NULL
GB45235	GB17356
GB45236	GB13737
GB45237	GB13737
GB45238	NULL
GB45239	NULL
GB45240	NULL
GB45241	NULL
GB45242	NULL
GB45243	NULL
GB45244	NULL
GB45246	NULL
GB45247	GB14374
GB45248	GB14265
GB45249	GB10719
GB45250	GB17087
GB45251	GB19789
GB45252	NULL
GB45253	GB18075
GB45254	GB10581
GB45255	GB11910
GB45256	GB19381
GB45257	NULL
GB45258	GB14517
GB45259	GB16949
GB45260	GB16384
GB45261	GB12420
GB45262	NULL
GB45263	GB18206
GB45264	GB10162
GB45265	GB19071
GB45266	NULL
GB45267	GB10258
GB45269	NULL
GB45270	GB17884
GB45271	NULL
GB45272	GB12309
GB45273	GB18679
GB45274	NULL
GB45275	GB10053
GB45277	GB12525
GB45278	GB11089
GB45279	GB18635
GB45280	GB17122
GB45281	GB17802
GB45282	GB14106
GB45283	GB12008
GB45284	GB11017
GB45285	GB17508
GB45286	GB18764
GB45287	GB18764
GB45288	GB18700
GB45289	NULL
GB45290	NULL
GB45291	NULL
GB45292	MI00057
GB45293	NULL
GB45294	NULL
GB45295	NULL
GB45296	GB10374
GB45297	GB12334
GB45298	GB12533
GB45299	NULL
GB45300	GB18127
GB45303	GB18649
GB45304	GB14747
GB45305	GB17815
GB45306	NULL
GB45307	GB15349
GB45310	GB17239
GB45311	NULL
GB45312	NULL
GB45313	GB10460
